dir;test;clauses;aaltafuc_unsat_core_cardinality;aaltafuc_timing;aaltafuc_terminated_OK;trppp_unsat_core_cardinality;trppp_timing;trppp_terminated_OK;ltlfuc_sat_unsat_core_cardinality;ltlfuc_sat_timing;ltlfuc_sat_terminated_OK;ltlfuc_bdd_unsat_core_cardinality;ltlfuc_bdd_timing;ltlfuc_bdd_terminated_OK;v_best_unsat_core_cardinality;v_best_timing;v_best_terminated_OK
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/60;N49;127;9;0.03424;True;7;3.575;True;-1;58.36;False;-1;10000;False;7;0.03424;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/30;N50;127;6;0.023197;True;5;3.024;True;-1;48.11;False;-1;10000;False;5;0.023197;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/80;N4;104;6;0.021413;True;4;2.298;True;-1;37.56;False;-1;10000;False;4;0.021413;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/60;N16;78;2;0.014036;True;-1;10000;False;-1;29.5;False;-1;10000;False;2;0.014036;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/90;N36;136;2;0.037912;True;-1;10000;False;-1;87.88;False;-1;10000;False;2;0.037912;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/20;N20;127;9;0.018366;True;4;2.696;True;-1;52.2;False;-1;10000;False;4;0.018366;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/40;N8;58;2;0.015848;True;-1;10000;False;-1;26.41;False;-1;10000;False;2;0.015848;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/40;N25;51;4;0.013184;True;3;0.888;True;-1;20.59;False;-1;10000;False;3;0.013184;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_b_l;lift_b_l_5;22;10;0.020429;True;-1;10000;False;-1;10000;False;-1;10000;False;10;0.020429;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/60;N21;139;13;0.1751;True;-1;10000;False;-1;88.39;False;-1;10000;False;13;0.1751;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/100;N6;138;9;0.021896;True;4;3.983;True;-1;41.56;False;-1;10000;False;4;0.021896;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/50;N2;132;9;0.043333;True;8;5.4;True;-1;70.43;False;-1;10000;False;8;0.043333;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/50;N31;66;11;0.040089;True;10;111.805;True;-1;23.79;False;-1;10000;False;10;0.040089;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/80;N41;103;6;0.014954;True;5;1.556;True;-1;35.86;False;-1;10000;False;5;0.014954;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/90;N38;119;9;0.018334;True;3;1.884;True;-1;46.11;False;-1;10000;False;3;0.018334;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/forobots;forobotsr1f0_GF_mh;6;2;0.009406;True;-1;10000;False;-1;10000;False;-1;10000;False;2;0.009406;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/100;N15;133;9;0.026866;True;4;4.76;True;-1;41.68;False;-1;10000;False;4;0.026866;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/acacia/demo-v3/demo-v3_cl;demo-v3_cl_9;37;3;0.015174;True;2;0.877;True;-1;10000;False;-1;10000;False;2;0.015174;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/30;N20;42;3;0.013328;True;5;0.597;True;-1;19.22;False;3;10.79;True;3;0.013328;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/80;N32;139;5;0.037605;True;4;2.894;True;-1;75.69;False;-1;10000;False;4;0.037605;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/70;N35;88;6;0.012874;True;5;3.948;True;-1;32.63;False;-1;10000;False;5;0.012874;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/100;N48;130;11;0.026444;True;6;16.022;True;-1;46.14;False;-1;10000;False;6;0.026444;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/100;N2;135;8;0.024709;True;5;5.348;True;-1;45.87;False;-1;10000;False;5;0.024709;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/anzu/genbuf/genbuf_c;spec_c_12;236;11;0.142223;True;-1;10000;False;-1;10000;False;-1;10000;False;11;0.142223;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/80;N6;136;2;0.042081;True;8;7.246;True;-1;72.68;False;-1;10000;False;2;0.042081;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/schuppan/O1formula;O1formula20;22;2;0.002513;True;2;0.019;True;2;0.01;True;2;0.08;True;2;0.002513;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/20;N16;123;7;0.018916;True;3;2.164;True;-1;40.04;False;-1;10000;False;3;0.018916;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/30;N6;143;4;0.037793;True;-1;10000;False;-1;61.43;False;-1;10000;False;4;0.037793;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/schuppan/O2formula;O2formula10;10;10;0.246914;True;-1;10000;False;-1;8.3;False;10;0.1;True;10;0.1;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/schuppan/O1formula;O1formula200;202;2;0.028695;True;2;4.33;True;2;0.58;True;2;51.09;True;2;0.028695;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/70;N29;92;2;0.022623;True;4;2.314;True;-1;35.57;False;-1;10000;False;2;0.022623;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/60;N27;140;8;0.084582;True;-1;10000;False;-1;70.62;False;-1;10000;False;8;0.084582;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_l;lift_l_16;43;10;0.038154;True;-1;10000;False;-1;10000;False;-1;10000;False;10;0.038154;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/anzu/genbuf/genbuf_c;spec_c_6;124;9;0.051999;True;-1;10000;False;-1;10000;False;-1;10000;False;9;0.051999;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/80;N33;95;8;0.014268;True;3;1.093;True;-1;34.84;False;-1;10000;False;3;0.014268;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/20;N41;27;6;0.009789;True;7;2.032;True;-1;10000;False;6;2.94;True;6;0.009789;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/90;N28;114;13;0.026772;True;5;25.245;True;-1;39.95;False;-1;10000;False;5;0.026772;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/60;N3;76;7;0.013764;True;3;0.648;True;-1;27.69;False;-1;10000;False;3;0.013764;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/60;N1;84;9;0.021615;True;4;0.859;True;-1;29.03;False;-1;10000;False;4;0.021615;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/forobots;forobotsr1f0_G_d;6;4;0.005063;True;-1;10000;False;-1;10000;False;-1;10000;False;4;0.005063;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/anzu/genbuf/genbuf;spec5.negated;1;1;0.015974;True;-1;10000;False;-1;10000;False;-1;10000;False;1;0.015974;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/100;N26;128;6;0.097189;True;-1;10000;False;-1;73.46;False;-1;10000;False;6;0.097189;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/60;N25;130;6;0.028714;True;3;2.449;True;-1;75.29;False;-1;10000;False;3;0.028714;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_f_l;lift_f_l_7;25;18;0.313846;True;-1;10000;False;-1;10000;False;-1;10000;False;18;0.313846;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/100;N50;131;9;0.020351;True;7;7.446;True;-1;38.67;False;-1;10000;False;7;0.020351;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/60;N31;81;2;0.016943;True;-1;10000;False;-1;27.63;False;-1;10000;False;2;0.016943;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_f_l;lift_f_l_6;23;17;0.130335;True;-1;10000;False;-1;10000;False;-1;10000;False;17;0.130335;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_f;lift_f_13;24;21;1.092968;True;-1;10000;False;-1;10000;False;-1;10000;False;21;1.092968;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/30;N28;122;15;0.029601;True;8;451.294;True;-1;46.03;False;-1;10000;False;8;0.029601;True
